# YADE export of polyhedra.
# Each polyhedron export contains first line with id, nuber of vertices and number of surfaces.
# x,y,z coordinates of each vertex follows (each vertex on separate line).
# ids if vertices of individual surfaces follows (numbering from 0, each surface on separate line).
# 
# Example of tetrahedron and cube with random ids:
# 23 4 4
# 0.1 0.2 0.3
# 1.3 0.1 -0.1
# -0.2 1.2 0
# 0 -0.1 1.5
# 0 2 1
# 0 3 2
# 0 1 3
# 1 2 3
# 65 8 6
# 4 0 0
# 5 0 0
# 4 1 0
# 5 1 0
# 4 0 1
# 5 0 1
# 4 1 1
# 5 1 1
# 0 2 3 1
# 0 1 5 4
# 1 3 7 5
# 3 2 6 7
# 2 0 4 6
# 4 5 7 6
# 
10 28 16
2.32998140e-01 3.05112908e-01 6.07295864e-01
2.28492532e-01 3.09800428e-01 6.20885212e-01
2.49248877e-01 3.19253185e-01 6.11515410e-01
2.28399381e-01 2.96822011e-01 6.29344918e-01
2.49860351e-01 3.17034146e-01 6.32832391e-01
2.47265674e-01 2.79944204e-01 6.18073853e-01
2.33843100e-01 2.86850386e-01 6.15620909e-01
2.35800032e-01 2.92189395e-01 6.05105506e-01
2.49572412e-01 3.18909982e-01 6.10528272e-01
2.56051374e-01 3.08410748e-01 6.08940825e-01
2.47553604e-01 2.81695568e-01 6.22025461e-01
2.62613010e-01 3.01637433e-01 6.21511336e-01
2.36975646e-01 2.94747725e-01 6.35712025e-01
2.54670634e-01 3.12510134e-01 6.09613136e-01
2.48978276e-01 2.82343110e-01 6.12766758e-01
2.48389828e-01 2.80289292e-01 6.16696989e-01
2.38067601e-01 2.97620586e-01 6.36377409e-01
2.49994236e-01 3.12845974e-01 6.35690516e-01
2.43878068e-01 2.89011931e-01 6.04904596e-01
2.35189547e-01 2.95676529e-01 6.35405776e-01
2.56981711e-01 2.87692479e-01 6.18508634e-01
2.52413483e-01 3.13688865e-01 6.34445399e-01
2.39557762e-01 3.19195268e-01 6.23358202e-01
2.62548141e-01 2.97989304e-01 6.19759342e-01
2.58054436e-01 3.08123527e-01 6.11056049e-01
2.62821140e-01 3.01575203e-01 6.18535722e-01
2.49027432e-01 3.18185213e-01 6.31424554e-01
